id,consumption,hodge_id,hodge_s,excluded,local_inconsistency,global_inconsistency,self_assessed_wealth,hamlet,ranking_meeting,nhhrank,quota_final,maintreatment,elite_meeting,ranking_meeting_norm,HodgeCBT_targets,tradCBT_targets
632,363.8367,6,0.0416666667,632,0.1117006225,0.0,3.0,61,6,71,27,Hybrid,1.0,0.08450704225352113,Excluded,Included
812,1272.116,7,0.5,812,0.1184647303,0.0,3.0,61,43,71,27,Hybrid,1.0,0.6056338028169014,Excluded,Excluded
964,203.4238,8,-0.2083333333,964,0.1026411403,0.0,2.0,61,34,71,27,Hybrid,1.0,0.4788732394366197,Excluded,Excluded
13,424.5952,0,-0.0535714286,13,0.2189343978,0.0,3.0,62,32,46,13,Full community,0.0,0.6956521739130435,Excluded,Excluded
85,376.1667,1,-0.375,85,0.2028508772,0.0,3.0,62,21,46,13,Full community,0.0,0.45652173913043476,Included,Excluded
162,309.4468,2,0.2321428571,162,0.2043264942,0.0,3.0,62,35,46,13,Full community,0.0,0.7608695652173914,Excluded,Excluded
178,122.5417,3,-0.875,178,0.2052401747,0.0,2.0,62,1,46,13,Full community,0.0,0.021739130434782608,Included,Included
591,909.6905,4,0.0,591,0.2028508772,0.0,3.0,62,37,46,13,Full community,0.0,0.8043478260869565,Excluded,Excluded
681,282.644,5,-0.625,681,0.2028508772,0.0,4.0,62,9,46,13,Full community,0.0,0.1956521739130435,Included,Included
758,416.6581,6,0.6607142857,758,0.2219014627,0.0,4.0,62,42,46,13,Full community,0.0,0.9130434782608695,Excluded,Excluded
772,1060.488,7,0.1964285714,772,0.2044603033,0.0,3.0,62,38,46,13,Full community,0.0,0.8260869565217391,Excluded,Excluded
863,1043.194,8,0.8392857143,863,0.2066444444,0.0,4.0,62,45,46,13,Full community,0.0,0.9782608695652174,Excluded,Excluded
14,561.5071,0,-0.0476190476,14,0.1205497634,0.0,2.0,65,44,73,20,Full community,1.0,0.6027397260273972,Excluded,Excluded
88,675.4575,1,0.7755102041,88,0.128685353,0.0,4.0,65,71,73,20,Full community,1.0,0.9726027397260274,Excluded,Excluded
102,617.4106,2,0.0,102,0.1228815341,0.0,3.0,65,69,73,20,Full community,1.0,0.9452054794520548,Excluded,Excluded
429,283.6885,3,-0.1428571429,429,0.1260847558,0.0,3.0,65,33,73,20,Full community,1.0,0.4520547945205479,Excluded,Excluded
439,207.5136,4,-0.7755102041,439,0.1398084042,0.0,4.0,65,22,73,20,Full community,1.0,0.3013698630136986,Included,Excluded
632,841.994,5,0.6785714286,632,0.1405700123,0.0,3.0,65,52,73,20,Full community,1.0,0.7123287671232876,Excluded,Excluded
648,406.2908,6,-0.5306122449,648,0.1145190373,0.0,2.0,65,25,73,20,Full community,1.0,0.3424657534246575,Included,Excluded
886,398.919,7,0.0680272109,886,0.1162834336,0.0,3.0,65,20,73,20,Full community,1.0,0.273972602739726,Excluded,Included
63,307.1378,0,-0.4126984127,63,0.1843828537,0.0,2.0,66,14,21,7,Full community,0.0,0.6666666666666666,Included,Excluded
